id,surgery,age,hospital_number,rectal_temp,pulse,respiratory_rate,temp_of_extremities,peripheral_pulse,mucous_membrane,capillary_refill_time,pain,peristalsis,abdominal_distention,nasogastric_tube,nasogastric_reflux,nasogastric_reflux_ph,rectal_exam_feces,abdomen,packed_cell_volume,total_protein,abdomo_appearance,abdomo_protein,surgical_lesion,lesion_1,lesion_2,lesion_3,cp_data
0.0,yes,adult,530001.0,38.1,132.0,24.0,cool,reduced,dark_cyanotic,more_3_sec,depressed,absent,slight,slight,less_1_liter,6.5,decreased,distend_small,57.0,8.5,serosanguious,3.4,yes,2209.0,0.0,0.0,no
1.0,yes,adult,533836.0,37.5,88.0,12.0,cool,normal,pale_cyanotic,more_3_sec,mild_pain,absent,moderate,none,more_1_liter,2.0,absent,distend_small,33.0,64.0,serosanguious,2.0,yes,2208.0,0.0,0.0,no
2.0,yes,adult,529812.0,38.3,120.0,28.0,cool,reduced,pale_pink,less_3_sec,extreme_pain,hypomotile,moderate,slight,none,3.5,,distend_large,37.0,6.4,serosanguious,3.4,yes,5124.0,0.0,0.0,no
3.0,yes,adult,5262541.0,37.1,72.0,30.0,cold,reduced,pale_pink,more_3_sec,mild_pain,hypomotile,moderate,slight,more_1_liter,2.0,decreased,distend_small,53.0,7.0,cloudy,3.9,yes,2208.0,0.0,0.0,yes
4.0,no,adult,5299629.0,38.0,52.0,48.0,normal,normal,normal_pink,less_3_sec,alert,hypomotile,none,slight,less_1_liter,7.0,normal,normal,47.0,7.3,cloudy,2.6,no,0.0,0.0,0.0,yes
5.0,no,adult,529642.0,38.1,56.0,32.0,normal,normal,bright_pink,less_3_sec,depressed,hypomotile,none,none,more_1_liter,5.0,decreased,firm,49.0,8.0,cloudy,2.8,no,0.0,0.0,0.0,yes
6.0,yes,adult,534787.0,38.3,36.0,16.0,cool,reduced,normal_pink,less_3_sec,severe_pain,normal,slight,none,more_1_liter,2.0,decreased,,43.0,75.0,cloudy,1.0,no,3111.0,0.0,0.0,yes
7.0,no,adult,529461.0,39.2,114.0,24.0,cool,reduced,pale_cyanotic,more_3_sec,mild_pain,hypomotile,moderate,slight,none,4.5,absent,distend_small,57.0,7.6,serosanguious,4.5,yes,2207.0,0.0,0.0,yes
8.0,no,adult,528742.0,37.4,48.0,12.0,cool,reduced,normal_pink,less_3_sec,alert,hypermotile,slight,slight,more_1_liter,7.0,normal,firm,40.0,7.8,cloudy,2.6,no,0.0,0.0,0.0,yes
9.0,yes,adult,529640.0,38.3,129.0,48.0,cool,reduced,pale_pink,less_3_sec,depressed,absent,moderate,slight,none,4.4,,,57.0,4.9,cloudy,2.9,yes,3209.0,0.0,0.0,yes
10.0,yes,adult,529642.0,38.3,84.0,48.0,cool,normal,pale_cyanotic,less_3_sec,depressed,absent,moderate,slight,more_1_liter,5.3,absent,distend_small,46.0,7.5,cloudy,2.0,yes,2208.0,0.0,0.0,yes
11.0,yes,adult,528682.0,39.3,84.0,30.0,cool,reduced,pale_cyanotic,more_3_sec,depressed,absent,moderate,none,more_1_liter,2.0,absent,distend_large,65.0,8.0,clear,2.0,yes,3205.0,0.0,0.0,no
12.0,yes,adult,530028.0,38.1,164.0,36.0,warm,normal,pale_pink,less_3_sec,alert,hypomotile,moderate,slight,less_1_liter,6.0,decreased,distend_small,44.0,6.7,serosanguious,3.6,no,3205.0,0.0,0.0,yes
13.0,yes,adult,528548.0,38.0,66.0,12.0,cool,reduced,normal_pink,less_3_sec,depressed,hypomotile,moderate,slight,none,4.5,absent,distend_large,60.0,7.4,serosanguious,3.9,yes,2124.0,0.0,0.0,yes
14.0,yes,adult,528134.0,38.0,124.0,88.0,cool,reduced,bright_red,less_3_sec,depressed,hypomotile,none,slight,more_1_liter,7.0,,,39.0,13.0,serosanguious,6.6,yes,2206.0,0.0,0.0,yes
15.0,no,adult,528305.0,38.3,44.0,24.0,warm,normal,pale_pink,less_3_sec,alert,hypermotile,none,slight,none,3.0,normal,,33.0,6.5,cloudy,3.6,no,31110.0,0.0,0.0,yes
16.0,yes,adult,534885.0,37.8,60.0,16.0,cool,,normal_pink,less_3_sec,depressed,normal,none,none,more_1_liter,2.0,normal,,37.0,75.0,,1.0,yes,2208.0,0.0,0.0,no
17.0,yes,adult,5290482.0,38.8,72.0,24.0,cold,reduced,pale_cyanotic,less_3_sec,depressed,hypomotile,moderate,none,more_1_liter,4.5,absent,distend_large,52.0,7.4,serosanguious,3.3,no,3205.0,0.0,0.0,yes
18.0,yes,adult,5279822.0,38.1,96.0,48.0,cool,reduced,dark_cyanotic,more_3_sec,,,none,slight,more_1_liter,5.0,,,72.0,6.8,,3.6,yes,2205.0,0.0,0.0,no
19.0,yes,adult,5299629.0,37.5,70.0,36.0,cool,reduced,bright_red,more_3_sec,depressed,hypomotile,none,slight,less_1_liter,7.5,normal,normal,35.0,8.4,serosanguious,4.5,yes,7111.0,0.0,0.0,yes
20.0,yes,adult,533692.0,37.8,48.0,16.0,cool,reduced,normal_pink,less_3_sec,extreme_pain,hypomotile,none,slight,more_1_liter,2.0,absent,distend_large,53.0,53.0,clear,2.0,yes,3205.0,0.0,0.0,no
21.0,yes,adult,535208.0,37.5,96.0,24.0,cool,reduced,dark_cyanotic,more_3_sec,severe_pain,absent,moderate,slight,more_1_liter,2.0,,distend_small,66.0,65.0,serosanguious,2.0,yes,2208.0,0.0,0.0,no
22.0,yes,adult,528523.0,38.0,66.0,12.0,normal,normal,pale_pink,less_3_sec,mild_pain,hypomotile,slight,none,none,3.0,absent,distend_small,44.0,6.1,serosanguious,3.6,yes,2208.0,0.0,0.0,yes
23.0,yes,young,529893.0,38.7,88.0,20.0,warm,normal,pale_cyanotic,less_3_sec,depressed,hypermotile,slight,significant,less_1_liter,7.0,increased,normal,34.0,6.1,cloudy,2.6,yes,7111.0,0.0,0.0,no
24.0,yes,adult,534145.0,38.1,129.0,48.0,cool,reduced,pale_pink,less_3_sec,depressed,absent,moderate,none,more_1_liter,2.0,,distend_large,57.0,66.0,serosanguious,2.0,no,3205.0,0.0,0.0,no
25.0,yes,adult,530233.0,37.6,96.0,48.0,cool,reduced,pale_cyanotic,less_3_sec,extreme_pain,absent,moderate,slight,none,4.5,absent,,45.0,4.6,cloudy,2.8,yes,3207.0,0.0,0.0,yes
26.0,yes,adult,529399.0,39.1,84.0,48.0,cool,reduced,dark_cyanotic,less_3_sec,mild_pain,absent,moderate,slight,more_1_liter,5.0,decreased,normal,59.0,8.4,serosanguious,3.3,no,4206.0,0.0,0.0,yes
27.0,yes,adult,530354.0,38.0,92.0,28.0,cool,reduced,bright_red,less_3_sec,depressed,hypomotile,moderate,significant,more_1_liter,2.0,,,46.0,5.3,serosanguious,2.0,yes,3111.0,0.0,0.0,no
28.0,yes,adult,528503.0,39.4,124.0,32.0,cold,reduced,pale_cyanotic,less_3_sec,,absent,moderate,slight,more_1_liter,5.0,decreased,normal,48.0,7.3,serosanguious,3.4,no,2209.0,0.0,0.0,yes
